Rank,Pos Rank,Player,Trends,Avg Pick,HI/LO,% Drafted
1,1,Jahmyr Gibbs RB | DET *,,1.3,1/3,100
2,2,Bijan Robinson RB | ATL *,,1.94,1/3,100
3,1,Ja'Marr Chase WR | CIN *,,4.03,2/8,100
4,2,Puka Nacua WR | LAR *,,5.05,3/11,100
5,3,Jonathan Taylor RB | IND *,,5.3,3/10,100
6,4,Christian McCaffrey RB | SF *,1,7.02,4/12,100
7,3,Jaxon Smith-Njigba WR | SEA,-1,7.03,4/12,100
8,4,Amon-Ra St. Brown WR | DET *,,9.25,5/16,100
9,5,James Cook RB | BUF *,1,11.19,6/17,100
10,6,De'Von Achane RB | MIA *,-1,11.65,6/19,100
11,7,Ashton Jeanty RB | LV *,,12.84,6/20,100
12,8,Chase Brown RB | CIN *,,13.12,7/22,100
13,9,Saquon Barkley RB | PHI *,,14.13,8/20,100
14,10,Derrick Henry RB | BAL *,1,14.4,5/23,100
15,5,CeeDee Lamb WR | DAL *,-1,15.07,9/27,100
16,6,Justin Jefferson WR | MIN *,,16.68,9/30,100
17,7,Drake London WR | ATL *,,17.94,11/29,100
18,11,Omarion Hampton RB | LAC *,,19.5,12/32,100
19,1,Josh Allen QB | BUF *,,19.8,3/37,97.6
20,12,Kenneth Walker III RB | KC *,2,20.54,12/31,100
21,8,George Pickens WR | DAL *,,23.04,14/34,100
22,9,Rashee Rice WR | KC,-2,23.54,14/37,100
23,10,A.J. Brown WR | NE *,,24.05,15/35,100
24,13,Kyren Williams RB | LAR *,2,26.69,17/40,100
25,1,Trey McBride TE | ARI *,2,27.83,16/41,100
26,11,Nico Collins WR | HOU *,-1,27.83,17/40,100
27,14,Josh Jacobs RB | GB *,-3,28.13,18/43,100
28,2,Brock Bowers TE | LV *,,28.13,16/43,100
29,12,Chris Olave WR | NO *,,30.15,20/43,100
30,15,Jeremiyah Love RB | ARI *,,30.26,16/46,100
31,16,Cam Skattebo RB | NYG *,1,31.74,19/48,100
32,17,Breece Hall RB | NYJ *,-1,32.6,21/53,100
33,13,Malik Nabers WR | NYG *,,33.84,21/50,100
34,18,Javonte Williams RB | DAL *,,36.12,25/54,100
35,14,Zay Flowers WR | BAL *,2,37.47,25/52,100
36,15,DeVonta Smith WR | PHI *,,38.12,28/55,100
37,16,Emeka Egbuka WR | TB,-2,39.66,28/53,100
38,17,Tee Higgins WR | CIN *,,40.41,30/57,100
39,19,D'Andre Swift RB | CHI *,3,40.77,25/56,100
40,2,Lamar Jackson QB | BAL *,-1,41.39,14/63,97.6
41,20,Bucky Irving RB | TB *,,41.44,26/59,100
42,21,Travis Etienne RB | NO,-2,43.36,29/60,100
43,18,Tetairoa McMillan WR | CAR *,,44.37,33/61,100
44,19,Ladd McConkey WR | LAC *,1,45.08,33/64,100
45,3,Colston Loveland TE | CHI *,-1,45.54,29/62,100
46,22,Quinshon Judkins RB | CLE *,1,48.19,33/65,100
47,20,Garrett Wilson WR | NYJ *,-1,48.73,34/69,100
48,3,Joe Burrow QB | CIN *,2,50.95,21/73,97.6
49,21,Jaylen Waddle WR | DEN *,2,53.36,39/78,100
50,4,Drake Maye QB | NE,-2,54.06,27/74,97.6
51,4,Tyler Warren TE | IND,1,54.22,35/74,99.5
52,23,David Montgomery RB | HOU *,4,54.86,38/75,100
53,24,Bhayshul Tuten RB | JAC *,1,56.47,36/79,100
54,22,Terry McLaurin WR | WAS *,-5,57.38,44/78,100
55,23,Davante Adams WR | LAR *,,58.58,39/77,100
56,24,Jameson Williams WR | DET *,3,59.41,43/78,100
57,5,Dak Prescott QB | DAL *,5,59.72,25/93,97.6
58,25,DJ Moore WR | BUF,3,61.71,43/90,100
59,25,Jadarian Price RB | SEA *,1,62.7,42/88,100
60,26,Rome Odunze WR | CHI *,4,62.72,47/84,99.5
61,27,Luther Burden III WR | CHI *,-8,63.32,43/93,100
62,26,TreVeyon Henderson RB | NE *,-5,63.47,44/89,100
63,6,Jayden Daniels QB | WAS *,-5,64.53,35/96,97.6
64,28,Mike Evans WR | SF *,-1,65.98,49/91,99.5
65,5,Sam LaPorta TE | DET *,2,68.05,44/96,99.1
66,6,Kyle Pitts TE | ATL *,2,70.2,46/99,100
67,7,Jalen Hurts QB | PHI,-1,71.29,29/107,97.6
68,27,Tony Pollard RB | TEN *,6,74.5,54/100,100
69,29,Christian Watson WR | GB *,,74.65,54/106,99.5
70,28,Jaylen Warren RB | PIT *,5,74.67,53/103,99.5
71,30,Alec Pierce WR | IND *,-6,75.1,50/106,99.5
72,8,Caleb Williams QB | CHI *,12,75.27,32/112,97.6
73,7,Tucker Kraft TE | GB *,-1,75.3,51/102,98.6
74,31,Marvin Harrison Jr. WR | ARI *,-3,76.02,55/103,98.6
75,29,RJ Harvey RB | DEN *,2,77.85,50/111,98.6
76,30,Rico Dowdle RB | PIT *,-6,79.86,54/112,99.1
77,32,Courtland Sutton WR | DEN *,-4,80.17,60/107,98.6
78,8,Harold Fannin Jr. TE | CLE *,,82.82,60/115,99.1
79,31,Rhamondre Stevenson RB | NE *,3,83.82,63/113,98.1
80,33,Brian Thomas Jr. WR | JAC *,,84.66,60/114,98.6
81,9,Dallas Goedert TE | PHI *,5,84.73,50/122,98.1
82,34,Parker Washington WR | JAC *,1,84.91,61/117,98.1
83,9,Justin Herbert QB | LAC,-2,85.7,44/120,96.2
84,10,Trevor Lawrence QB | JAC *,12,86.12,38/131,96.7
85,35,Carnell Tate WR | TEN *,-6,86.81,60/122,96.2
86,36,DK Metcalf WR | PIT *,-1,90.41,67/120,97.6
87,1,Broncos DST | DEN *,3,90.51,39/137,89.2
88,32,Chuba Hubbard RB | CAR *,-12,90.67,64/123,98.1
89,33,J.K. Dobbins RB | DEN *,,91.54,65/117,97.6
90,11,Matthew Stafford QB | LAR *,7,93.08,41/136,96.2
91,10,George Kittle TE | SF *,,93.66,58/133,97.6
92,12,Brock Purdy QB | SF *,8,94.83,41/144,95.8
93,11,Isaiah Likely TE | NYG *,5,96.9,67/134,97.6
94,34,Jonathon Brooks RB | CAR *,12,97.11,65/140,98.1
95,37,Chris Godwin WR | TB *,-3,97.12,71/129,97.6
96,35,Kenneth Gainwell RB | TB *,5,99.54,73/133,97.6
97,2,Texans DST | HOU *,11,99.61,61/138,89.2
98,13,Patrick Mahomes QB | KC *,5,99.75,47/144,97.6
99,38,Quentin Johnston WR | LAC *,-6,100.6,83/136,94.8
100,12,Travis Kelce TE | KC *,4,101.55,70/132,96.7
101,14,Jaxson Dart QB | NYG *,-14,101.88,50/147,96.7
102,36,Jordan Mason RB | MIN *,11,102.82,72/137,96.2
103,39,Wan'Dale Robinson WR | TEN *,-15,103.25,74/150,92
104,37,Kyle Monangai RB | CHI *,-2,103.3,78/136,94.3
105,1,Brandon Aubrey K | DAL *,10,105.68,66/138,87.7
106,38,Jacory Croskey-Merritt RB | WAS *,1,106.13,83/139,96.7
107,40,Michael Wilson WR | ARI *,-2,107.76,77/148,92
108,15,Jared Goff QB | DET *,10,108.01,45/154,91.5
109,39,Blake Corum RB | LAR *,,108.18,80/138,96.2
110,41,Josh Downs WR | IND *,1,108.53,79/155,91
111,3,Rams DST | LAR *,9,109.74,73/144,89.2
112,4,Seahawks DST | SEA *,7,111.94,75/151,89.2
113,40,Aaron Jones RB | MIN *,-3,112.81,83/149,95.3
114,42,Jordyn Tyson WR | NO *,-19,112.93,75/166,82.5
115,43,Michael Pittman WR | PIT *,-3,113.84,83/148,88.7
116,44,Jakobi Meyers WR | JAC *,-17,115.49,84/160,92
117,45,Jordan Addison WR | MIN *,,117.27,86/152,90.1
118,41,Rachaad White RB | WAS *,-2,118.41,92/153,92.9
119,13,Jake Ferguson TE | DAL *,6,119.27,81/156,92.9
120,46,Makai Lemon WR | PHI *,-6,120.74,85/163,78.8
121,16,Bo Nix QB | DEN *,12,121.41,63/161,85.4
122,47,Stefon Diggs WR | WAS *,8,121.48,91/158,84
123,14,Mark Andrews TE | BAL *,3,121.58,85/160,89.2
124,2,Jason Myers K | SEA *,-2,121.64,79/162,87.7
125,15,Dalton Kincaid TE | BUF *,9,123.4,84/161,91.5
126,48,Deebo Samuel WR | SF,3,124.61,94/159,82.1
127,17,Baker Mayfield QB | TB *,8,125.27,77/161,83.5
128,49,Jayden Reed WR | GB *,-7,126.51,90/171,81.1
