"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Brandon Aubrey",DAL,"14","2 out of 5 stars","0"
"2",1,"Cameron Dicker",LAC,"7","2 out of 5 stars","0"
"3",1,"Ka'imi Fairbairn",HOU,"8","2 out of 5 stars","+1"
"4",2,"Cam Little",JAC,"7","4 out of 5 stars","+1"
"5",2,"Jason Myers",SEA,"11","4 out of 5 stars","-2"
"6",2,"Eddy Pineiro",SF,"8","5 out of 5 stars","+4"
"7",2,"Tyler Loop",BAL,"13","3 out of 5 stars","+1"
"8",3,"Evan McPherson",CIN,"6","2 out of 5 stars","+7"
"9",3,"Cairo Santos",CHI,"10","0 out of 5 stars","+3"
"10",3,"Jake Bates",DET,"6","5 out of 5 stars","-3"
"11",3,"Harrison Mevis",LAR,"11","2 out of 5 stars","-5"
"12",3,"Chase McLaughlin",TB,"10","3 out of 5 stars","+1"
"13",3,"Andy Borregales",NE,"11","1 out of 5 stars","+5"
"14",3,"Chris Boswell",PIT,"9","4 out of 5 stars","0"
"15",4,"Harrison Butker",KC,"5","5 out of 5 stars","-6"
"16",4,"Will Reichard",MIN,"6","2 out of 5 stars","-5"
"17",4,"Wil Lutz",DEN,"10","1 out of 5 stars","-1"
"18",4,"Charlie Smyth",NO,"8","5 out of 5 stars","+6"
"19",4,"Jake Elliott",PHI,"10","5 out of 5 stars","-2"
"20",4,"Tyler Bass",BUF,"7","2 out of 5 stars","-1"
"21",4,"Blake Grupe",IND,"13","4 out of 5 stars","+2"
"22",4,"Joey Slye",TEN,"9","4 out of 5 stars","+3"
"23",5,"Chad Ryland",ARI,"14","2 out of 5 stars","+13"
"24",5,"Nick Folk",ATL,"11","0 out of 5 stars","-4"
"25",5,"Ryan Fitzgerald",CAR,"5","0 out of 5 stars","+6"
"26",5,"Trey Smack",GB,"11","4 out of 5 stars","-5"
"",5
"27",5,"Zane Gonzalez",FA,"-","-","+21"
"28",5,"Daniel Carlson",LV,"13","1 out of 5 stars","+15"
"29",5,"Ben Sauls",NYG,"8","2 out of 5 stars","-2"
"30",6,"Jake Moody",FA,"-","-","-1"
"31",6,"Jason Sanders",NYJ,"13","2 out of 5 stars","+2"
"32",6,"Andre Szmyt",CLE,"11","5 out of 5 stars","+2"
"33",6,"Spencer Shrader",IND,"13","4 out of 5 stars","+2"
"34",6,"Brandon McManus",FA,"-","-","+4"
"35",6,"Matt Gay",LV,"13","1 out of 5 stars","-13"
"36",6,"Drew Stevens",WAS,"7","5 out of 5 stars","+5"
"37",6,"Riley Patterson",MIA,"6","2 out of 5 stars","-11"
"38",6,"Cade York",NYJ,"13","2 out of 5 stars","+4"
"39",6,"Dominic Zvada",NYG,"8","2 out of 5 stars","-7"
"40",6,"B.T. Potter",TB,"10","3 out of 5 stars","-"
