"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","49.5","14.4","11.6","18.3","2.8","1.0","322.1","5053.9","120.4"
"Denver Broncos","","59.8","13.3","8.3","12.3","2.4","0.5","319.3","4842.5","118.3"
"Minnesota Vikings","","49.3","12.6","12.1","18.1","2.4","0.0","360.8","5300.6","112.8"
"Pittsburgh Steelers","","46.0","13.2","12.5","18.7","2.4","0.0","347.4","5440.8","111.9"
"Seattle Seahawks","","46.5","13.6","8.4","13.5","3.2","0.5","314.4","5108.1","110.9"
"Los Angeles Chargers","","48.8","15.3","8.7","12.6","2.0","0.0","366.9","5473.9","108.6"
"Los Angeles Rams","","46.5","13.4","9.5","14.5","2.3","0.5","347.2","5237.9","107.3"
"Detroit Lions","","48.0","13.4","9.0","13.9","2.2","0.5","374.9","5456.5","106.8"
"Buffalo Bills","","42.7","14.6","9.6","12.7","2.4","0.5","393.0","5726.1","106.6"
"Philadelphia Eagles","","42.5","13.0","10.0","14.4","2.4","0.0","323.6","5266.0","102.6"
"Baltimore Ravens","","46.1","12.8","9.3","14.1","2.0","0.0","356.5","5267.2","102.0"
"Atlanta Falcons","","46.3","12.3","8.1","12.7","2.3","0.5","423.2","5666.0","101.8"
"Cleveland Browns","","46.3","12.1","8.6","12.8","2.2","0.0","387.7","5194.9","101.1"
"Chicago Bears","","39.1","14.1","10.6","16.6","2.1","0.0","390.5","5914.3","101.0"
"New Orleans Saints","","45.1","12.2","8.8","12.8","2.3","0.0","394.9","5446.8","100.9"
"Jacksonville Jaguars","","37.1","13.9","9.6","13.7","2.6","0.0","387.1","5482.4","99.9"
"Cincinnati Bengals","","41.2","13.1","9.8","13.4","2.1","0.0","413.0","5839.3","99.6"
"New England Patriots","","41.1","11.9","8.9","13.0","2.6","0.5","359.3","5331.3","99.4"
"Tampa Bay Buccaneers","","41.1","11.7","10.0","13.4","2.0","0.5","393.2","5614.4","97.3"
"Tennessee Titans","","45.0","10.0","8.5","13.0","2.1","0.5","463.7","5956.3","95.6"
"Green Bay Packers","","40.4","11.9","9.7","13.5","1.9","0.0","366.6","5510.7","95.1"
"Washington Commanders","","43.8","9.7","8.9","13.5","2.0","0.5","439.5","6139.6","94.4"
"Indianapolis Colts","","39.4","12.9","8.7","12.3","1.9","0.0","398.7","5560.5","94.3"
"Kansas City Chiefs","","42.0","12.0","7.9","12.2","1.9","0.0","348.9","5391.6","93.2"
"Dallas Cowboys","","42.1","10.7","8.4","13.1","1.9","0.0","437.6","6052.0","91.6"
"New York Giants","","40.9","10.5","8.8","12.9","2.0","0.0","418.7","6055.8","91.3"
"Miami Dolphins","","42.2","10.2","9.1","13.8","1.6","0.0","450.1","6079.4","90.5"
"Arizona Cardinals","","35.8","11.8","9.3","14.0","1.9","0.5","466.2","6150.6","90.1"
"Las Vegas Raiders","","40.8","10.2","8.4","14.0","1.8","0.5","440.0","5752.2","89.8"
"San Francisco 49ers","","35.9","11.1","9.3","15.3","1.9","0.0","394.4","5641.3","88.1"
"Carolina Panthers","","38.2","11.6","7.1","10.6","1.8","0.0","404.4","5815.6","86.5"
"New York Jets","","37.3","10.0","7.7","12.2","1.9","0.5","432.8","5654.6","85.0"
""
""
