"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.7","1383.0","13.8","70.9","581.1","4.1","1.1","372.8"
"Bijan Robinson","ATL","RB2","289.6","1426.4","9.5","79.6","736.7","3.8","1.8","372.0"
"Puka Nacua","LAR","WR1","13.6","85.0","1.4","117.0","1539.0","9.0","1.0","339.8"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.0","1510.3","10.6","1.0","335.7"
"Christian McCaffrey","SF","RB3","269.4","1093.6","8.7","78.4","694.0","4.6","1.1","334.8"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1569.7","9.2","1.1","324.2"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.4","1391.1","10.8","0.4","321.9"
"Jonathan Taylor","IND","RB4","327.1","1508.1","12.9","45.1","339.1","1.5","1.7","312.4"
"De'Von Achane","MIA","RB5","238.2","1198.5","6.0","65.2","490.7","4.0","1.0","292.0"
"Drake London","ATL","WR5","0.0","0.0","0.0","101.7","1328.7","9.1","1.0","287.2"
"Chase Brown","CIN","RB6","239.4","1040.1","7.8","63.7","427.3","4.0","1.1","278.7"
"Ashton Jeanty","LV","RB7","281.7","1107.8","8.0","58.7","414.4","3.3","1.1","276.9"
"Rashee Rice","KC","WR6","5.4","25.5","0.9","99.1","1100.3","9.7","0.6","273.8"
"CeeDee Lamb","DAL","WR7","2.4","12.5","0.0","97.6","1296.6","7.5","0.3","273.2"
"Derrick Henry","BAL","RB8","314.0","1568.4","13.4","17.8","173.4","0.7","1.7","273.1"
"Justin Jefferson","MIN","WR8","1.3","5.5","0.0","98.6","1311.6","7.1","0.3","272.5"
"James Cook III","BUF","RB9","287.6","1403.9","10.3","33.3","283.6","1.9","2.4","270.4"
"Saquon Barkley","PHI","RB10","295.9","1299.3","8.2","41.7","330.5","2.1","1.0","264.7"
"Chris Olave","NO","WR9","0.3","0.0","0.0","94.5","1171.4","7.8","0.3","257.8"
"Kenneth Walker III","KC","RB11","262.4","1189.8","8.7","45.8","352.8","1.2","0.9","257.6"
"Jeremiyah Love","ARI","RB12","238.3","1074.4","7.2","54.4","419.6","2.1","2.2","255.3"
"A.J. Brown","NE","WR10","0.0","0.0","0.0","87.7","1221.6","7.6","0.3","255.1"
"Trey McBride","ARI","TE1","0.0","0.0","0.0","109.0","1051.6","6.8","0.2","254.4"
"Omarion Hampton","LAC","RB13","243.6","1034.2","9.4","50.2","342.6","1.9","1.0","254.0"
"Breece Hall","NYJ","RB14","259.7","1160.0","6.5","47.4","413.2","2.3","1.7","253.9"
"George Pickens","DAL","WR11","0.3","-0.3","0.0","82.6","1201.3","8.4","0.5","252.2"
"Josh Jacobs","GB","RB15","274.0","1102.4","11.8","35.3","280.5","1.2","1.3","248.9"
"Nico Collins","HOU","WR12","1.4","8.3","0.4","82.5","1209.9","7.2","0.8","248.2"
"Zay Flowers","BAL","WR13","9.9","58.8","0.5","82.9","1179.1","6.5","1.5","245.6"
"Brock Bowers","LV","TE2","0.0","0.0","0.0","96.5","1026.3","7.5","0.2","243.9"
"Garrett Wilson","NYJ","WR14","1.1","4.3","0.0","96.3","1095.6","6.4","1.0","242.9"
"Cam Skattebo","NYG","RB16","243.4","1016.0","8.1","44.3","353.1","2.5","1.6","241.6"
"Kyren Williams","LAR","RB17","240.2","1118.1","10.1","33.8","239.6","2.2","1.5","240.1"
"Malik Nabers","NYG","WR15","2.8","8.3","0.1","80.0","1069.3","8.4","0.4","238.0"
"DeVonta Smith","PHI","WR16","0.0","0.0","0.0","87.9","1135.1","6.0","0.3","236.9"
"Javonte Williams","DAL","RB18","255.5","1157.4","10.4","33.0","192.1","1.2","1.6","234.3"
"Tetairoa McMillan","CAR","WR17","0.0","0.0","0.0","81.2","1144.9","6.6","0.9","233.7"
"Travis Etienne Jr.","NO","RB19","244.6","1036.7","5.4","44.9","351.7","3.0","1.0","232.0"
"Emeka Egbuka","TB","WR18","1.4","7.3","0.0","73.2","1098.8","7.5","0.3","228.4"
"Bucky Irving","TB","RB20","256.2","1020.9","6.1","39.9","336.8","2.3","1.0","223.9"
"D'Andre Swift","CHI","RB21","233.5","1056.8","8.1","35.1","304.2","1.0","1.0","223.9"
"Davante Adams","LAR","WR19","0.0","0.0","0.0","68.8","925.8","10.2","0.2","222.3"
"Tee Higgins","CIN","WR20","0.0","0.0","0.0","70.6","964.6","9.1","0.2","221.5"
"Ladd McConkey","LAC","WR21","0.0","0.0","0.0","79.2","1010.2","6.8","0.3","220.2"
"Jameson Williams","DET","WR22","7.3","42.0","0.5","64.4","1065.9","6.6","0.2","217.4"
"Quinshon Judkins","CLE","RB22","289.4","1104.5","8.1","31.3","218.6","0.6","0.9","213.8"
"Rome Odunze","CHI","WR23","0.3","1.3","0.0","64.1","993.5","8.1","0.3","211.9"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","78.7","929.6","6.7","0.2","211.3"
"Terry McLaurin","WAS","WR24","0.3","0.3","0.0","69.1","973.1","7.4","0.3","210.0"
"Jaylen Waddle","DEN","WR25","1.7","12.4","0.0","74.2","990.6","6.0","0.3","210.0"
"DJ Moore","BUF","WR26","10.3","54.0","0.5","69.4","905.3","7.0","0.8","208.5"
