"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1539.0","9.0","13.6","85.0","1.4","1.0","339.8"
"Ja'Marr Chase","CIN","121.0","1510.3","10.6","3.0","17.0","0.0","1.0","335.7"
"Jaxon Smith-Njigba","SEA","110.9","1569.7","9.2","5.5","30.4","0.1","1.1","324.2"
"Amon-Ra St. Brown","DET","117.4","1391.1","10.8","3.1","11.8","0.0","0.4","321.9"
"Drake London","ATL","101.7","1328.7","9.1","0.0","0.0","0.0","1.0","287.2"
"Rashee Rice","KC","99.1","1100.3","9.7","5.4","25.5","0.9","0.6","273.8"
"CeeDee Lamb","DAL","97.6","1296.6","7.5","2.4","12.5","0.0","0.3","273.2"
"Justin Jefferson","MIN","98.6","1311.6","7.1","1.3","5.5","0.0","0.3","272.5"
"Chris Olave","NO","94.5","1171.4","7.8","0.3","0.0","0.0","0.3","257.8"
"A.J. Brown","NE","87.7","1221.6","7.6","0.0","0.0","0.0","0.3","255.1"
"George Pickens","DAL","82.6","1201.3","8.4","0.3","-0.3","0.0","0.5","252.2"
"Nico Collins","HOU","82.5","1209.9","7.2","1.4","8.3","0.4","0.8","248.2"
"Zay Flowers","BAL","82.9","1179.1","6.5","9.9","58.8","0.5","1.5","245.6"
"Garrett Wilson","NYJ","96.3","1095.6","6.4","1.1","4.3","0.0","1.0","242.9"
"Malik Nabers","NYG","80.0","1069.3","8.4","2.8","8.3","0.1","0.4","238.0"
"DeVonta Smith","PHI","87.9","1135.1","6.0","0.0","0.0","0.0","0.3","236.9"
"Tetairoa McMillan","CAR","81.2","1144.9","6.6","0.0","0.0","0.0","0.9","233.7"
"Emeka Egbuka","TB","73.2","1098.8","7.5","1.4","7.3","0.0","0.3","228.4"
"Davante Adams","LAR","68.8","925.8","10.2","0.0","0.0","0.0","0.2","222.3"
"Tee Higgins","CIN","70.6","964.6","9.1","0.0","0.0","0.0","0.2","221.5"
"Ladd McConkey","LAC","79.2","1010.2","6.8","0.0","0.0","0.0","0.3","220.2"
"Jameson Williams","DET","64.4","1065.9","6.6","7.3","42.0","0.5","0.2","217.4"
"Rome Odunze","CHI","64.1","993.5","8.1","0.3","1.3","0.0","0.3","211.9"
"Terry McLaurin","WAS","69.1","973.1","7.4","0.3","0.3","0.0","0.3","210.0"
"Jaylen Waddle","DEN","74.2","990.6","6.0","1.7","12.4","0.0","0.3","210.0"
"DJ Moore","BUF","69.4","905.3","7.0","10.3","54.0","0.5","0.8","208.5"
"Luther Burden III","CHI","72.7","975.6","5.7","7.7","38.2","0.1","0.3","208.4"
"Alec Pierce","IND","63.1","1038.8","6.5","0.0","0.0","0.0","0.3","205.7"
"Mike Evans","SF","67.4","950.8","7.0","0.0","0.0","0.0","0.2","203.8"
"Courtland Sutton","DEN","67.4","883.4","7.2","0.0","0.0","0.0","0.2","198.4"
"Marvin Harrison Jr.","ARI","67.3","945.5","6.0","0.0","0.0","0.0","0.3","197.3"
"Christian Watson","GB","58.0","930.6","7.4","1.7","8.0","0.0","0.3","195.7"
"DK Metcalf","PIT","64.2","926.9","6.1","0.7","3.3","0.3","0.2","195.1"
"Michael Pittman Jr.","PIT","80.5","806.1","5.0","0.0","0.0","0.0","0.3","190.2"
"Parker Washington","JAC","62.6","862.6","5.7","5.0","13.6","0.1","0.4","184.2"
"Brian Thomas Jr.","JAC","58.0","872.3","5.3","2.7","17.7","0.4","0.2","181.1"
"Wan'Dale Robinson","TEN","79.9","805.5","3.3","2.0","9.5","0.1","0.3","181.0"
"Jakobi Meyers","JAC","68.3","788.1","5.1","4.3","22.6","0.1","0.8","178.7"
"Carnell Tate","TEN","65.2","887.1","4.5","0.7","3.0","0.0","1.4","178.3"
"Josh Downs","IND","77.6","754.2","4.3","1.4","4.3","0.0","0.8","177.7"
"Michael Wilson","ARI","67.5","826.9","4.5","0.0","0.7","0.0","0.2","176.7"
"Jayden Reed","GB","63.1","758.3","4.8","12.0","87.0","0.1","0.4","176.5"
"Chris Godwin Jr.","TB","67.8","774.2","5.2","0.3","0.3","0.0","0.3","175.8"
"Jordyn Tyson","NO","63.2","857.9","4.3","0.7","3.3","0.0","1.3","172.5"
"Quentin Johnston","LAC","53.6","757.1","6.9","1.7","5.9","0.0","0.7","169.8"
"Jordan Addison","MIN","55.2","758.4","5.4","2.7","37.1","0.4","0.2","168.9"
"Deebo Samuel Sr.","SF","58.3","665.7","4.5","29.1","111.7","1.1","0.4","168.7"
